Theta,Phi
-51.174,131.490
-51.184,131.588
-51.192,131.686
-51.201,131.784
-51.219,131.979
-51.227,132.078
-51.236,132.176
-51.244,132.274
-51.252,132.372
-51.260,132.470
-51.268,132.568
-51.276,132.666
-51.284,132.765
-51.292,132.863
-51.308,133.060
-51.315,133.158
-51.323,133.257
-51.330,133.355
-51.337,133.454
-51.344,133.552
-51.351,133.651
-51.358,133.749
-51.365,133.848
-51.372,133.947
-51.386,134.144
-51.392,134.243
-51.398,134.342
-51.405,134.441
-51.411,134.539
-51.417,134.638
-51.423,134.737
-51.429,134.836
-51.435,134.935
-51.441,135.034
-51.452,135.232
-51.458,135.331
-51.464,135.430
-51.469,135.529
-51.474,135.628
-51.479,135.728
-51.484,135.827
-51.489,135.926
-51.499,136.124
-51.504,136.224
-51.509,136.323
-51.513,136.422
-51.518,136.522
-51.522,136.621
-51.526,136.720
-51.535,136.919
-51.539,137.019
-51.542,137.118
-51.546,137.218
-51.550,137.317
-51.554,137.417
-51.558,137.516
-51.561,137.616
-51.564,137.715
-51.568,137.815
-51.574,138.014
-51.577,138.114
-51.580,138.213
-51.582,138.313
-51.585,138.412
-51.588,138.512
-51.591,138.612
-51.593,138.711
-51.595,138.811
-51.598,138.911
-51.602,139.110
-51.604,139.210
-51.606,139.310
-51.608,139.409
-51.609,139.509
-51.611,139.609
-51.613,139.709
-51.614,139.809
-51.615,139.908
-51.616,140.008
-51.619,140.208
-51.620,140.308
-51.621,140.407
-51.621,140.507
-51.622,140.607
-51.623,140.707
-51.623,140.807
-51.624,140.906
-51.624,141.006
-51.624,141.106
-51.624,141.306
-51.624,141.406
-51.624,141.506
-51.624,141.605
-51.624,141.705
-51.623,141.805
-51.623,141.905
-51.622,142.004
-51.622,142.104
-51.620,142.304
-51.619,142.404
-51.618,142.504
-51.617,142.603
-51.616,142.703
-51.614,142.803
-51.613,142.903
-51.611,143.002
-51.610,143.102
-51.608,143.202
-51.604,143.402
-51.602,143.501
-51.601,143.601
-51.598,143.701
-51.596,143.801
-51.594,143.900
-51.591,144.000
-51.589,144.099
-51.586,144.199
-51.584,144.299
-51.578,144.498
-51.575,144.598
-51.572,144.697
-51.569,144.797
-51.566,144.896
-51.562,144.996
-51.559,145.096
-51.555,145.195
-51.552,145.294
-51.548,145.394
-51.540,145.593
-51.536,145.692
-51.532,145.792
-51.528,145.891
-51.524,145.991
-51.519,146.090
-51.515,146.189
-51.511,146.289
-51.506,146.388
-51.501,146.487
-51.491,146.686
-51.487,146.785
-51.481,146.884
-51.476,146.983
-51.471,147.082
-51.466,147.181
-51.460,147.281
-51.455,147.380
-51.449,147.479
-51.438,147.677
-51.432,147.776
-51.426,147.874
-51.420,147.973
-51.414,148.072
-51.407,148.171
-51.401,148.270
-51.394,148.369
-51.388,148.468
-51.381,148.566
-51.368,148.764
-51.361,148.862
-51.354,148.961
-51.347,149.059
-51.340,149.158
-51.332,149.257
-51.325,149.355
-51.318,149.454
-51.310,149.552
-51.303,149.650
-51.287,149.847
-51.279,149.945
-51.271,150.044
-51.263,150.142
-51.255,150.240
-51.247,150.338
-51.239,150.436
-51.230,150.534
-51.222,150.632
-51.213,150.730
-51.196,150.926
-51.187,151.024
-51.178,151.122
-51.169,151.220
-51.160,151.318
-51.151,151.415
-51.141,151.513
-51.132,151.611
-51.122,151.708
-51.113,151.806
-51.094,152.001
-51.084,152.098
-51.074,152.195
-51.064,152.293
-51.054,152.390
-51.044,152.487
-51.033,152.584
-51.023,152.682
-51.012,152.779
-50.991,152.973
-50.981,153.070
-50.970,153.167
-50.959,153.264
-50.948,153.360
-50.937,153.457
-50.926,153.554
-50.915,153.651
-50.903,153.747
-50.892,153.844
-50.869,154.037
-50.857,154.133
-50.846,154.230
-50.834,154.326
-50.822,154.422
-50.810,154.519
-50.798,154.615
-50.786,154.711
-50.773,154.807
-50.761,154.903
-50.736,155.095
-50.723,155.191
-50.711,155.286
-50.698,155.382
-50.685,155.478
-50.672,155.574
-50.659,155.669
-50.646,155.765
-50.633,155.860
-50.619,155.956
-50.593,156.146
-50.579,156.242
-50.566,156.337
-50.552,156.432
-50.538,156.527
-50.524,156.622
-50.510,156.717
-50.496,156.812
-50.482,156.907
-50.468,157.001
-50.439,157.191
-50.424,157.286
-50.410,157.380
-50.395,157.474
-50.381,157.569
-50.366,157.663
-50.351,157.758
-50.336,157.852
-50.321,157.946
-50.291,158.134
-50.275,158.228
-50.260,158.322
-50.244,158.416
-50.229,158.510
-50.213,158.603
-50.198,158.697
-50.182,158.791
-50.166,158.884
-50.150,158.978
-50.118,159.164
-50.102,159.258
-50.085,159.351
-50.069,159.444
-50.052,159.537
-50.036,159.630
-50.019,159.723
-50.002,159.816
-49.986,159.909
-49.969,160.002
-49.935,160.187
-49.918,160.279
-49.901,160.372
-49.883,160.464
-49.866,160.557
-49.849,160.649
-49.831,160.741
-49.814,160.833
-49.796,160.925
-49.778,161.017
-49.742,161.201
-49.724,161.293
-49.706,161.384
-49.688,161.476
-49.670,161.568
-49.652,161.659
-49.633,161.751
-49.615,161.842
-49.596,161.933
-49.578,162.024
-49.541,162.206
-49.522,162.297
-49.503,162.388
-49.484,162.479
-49.464,162.570
-49.446,162.661
-49.426,162.751
-49.407,162.842
-49.388,162.932
-49.349,163.113
-49.329,163.203
-49.309,163.293
-49.289,163.383
-49.269,163.473
-49.250,163.563
-49.230,163.653
-49.209,163.743
-49.189,163.832
-49.169,163.922
-49.128,164.101
-49.108,164.191
-49.088,164.280
-49.067,164.369
-49.046,164.458
-49.026,164.547
-49.004,164.636
-48.984,164.725
-48.963,164.814
-48.921,164.992
-48.899,165.080
-48.878,165.169
-48.857,165.257
-48.835,165.346
-48.814,165.434
-48.792,165.522
-48.771,165.610
-48.727,165.786
