Time,Roll (x),x,Pitch (y),Yaw (z),R,Theta,Phi,Humidity (%),Temperature (C),Pressure (Millibars),Mag X (microteslas),Mag Y (microteslas),Mag Z (microteslas),Earth Distance (km),Sun Distance (km)
17:44:18,0.35,0,0.02,-2.09,6797.99,-51.174,131.49,38.6,30.5,987.2,-9.0,19.93,9.59,426992,149872905
17:44:20,0.6,2,0.15,-1.93,6798.0,-51.184,131.588,38.5,30.6,987.2,-15.03,32.73,15.3,426997,149872906
17:44:21,0.85,4,0.25,-1.74,6798.0,-51.192,131.686,38.5,30.5,987.2,-18.78,40.68,19.17,427002,149872907
17:44:22,1.12,6,0.29,-1.54,6798.01,-51.201,131.784,39.0,30.5,987.2,-21.65,46.07,21.9,427008,149872908
17:44:23,1.38,8,0.28,-1.35,6798.02,-51.218999999999994,131.97899999999998,38.4,30.5,987.2,-23.17,49.25,23.75,427018,149872909
17:44:24,1.62,10,0.23,-1.17,6798.02,-51.227,132.078,38.5,30.6,987.2,-24.26,50.73,24.59,427023,149872910
17:44:25,1.83,12,0.15,-1.01,6798.03,-51.236000000000004,132.17600000000002,38.2,30.6,987.2,-24.79,52.27,24.64,427028,149872911
17:44:26,2.02,14,0.04,-0.89,6798.03,-51.244,132.274,38.6,30.5,987.2,-25.14,53.43,25.03,427034,149872911
17:44:27,2.19,16,-0.08,-0.79,6798.04,-51.251999999999995,132.372,38.6,30.6,987.2,-25.49,54.01,25.54,427039,149872912
17:44:28,2.35,18,-0.21,-0.71,6798.04,-51.26,132.47,38.6,30.6,987.2,-25.49,54.39,25.74,427044,149872913
17:44:30,2.5,20,-0.35,-0.66,6798.05,-51.268,132.56799999999998,38.1,30.5,987.2,-25.78,54.68,25.83,427049,149872914
17:44:31,2.81,22,-0.66,-0.61,6798.05,-51.276,132.666,38.3,30.5,987.2,-25.84,54.75,25.81,427054,149872914
17:44:32,-3.07,24,-0.95,-0.71,6798.06,-51.284,132.765,38.5,30.5,987.2,-25.83,54.79,25.81,427059,149872915
17:44:33,-2.41,26,-1.15,-1.12,6798.06,-51.292,132.863,38.3,30.5,987.2,-25.83,54.9,25.92,427064,149872916
17:44:34,-1.47,28,-1.15,-1.82,6798.07,-51.308,133.06,38.5,30.5,987.2,-25.79,54.89,25.87,427073,149872917
17:44:35,-0.85,30,-0.97,-2.2,6798.08,-51.315,133.158,38.4,30.6,987.2,-25.81,54.81,26.02,427078,149872918
